file,session_started,n_calls,n_success,n_failed,models,lat_ms_p50,lat_ms_mean,lat_ms_max,sum_llm_s,wall_span_s,llm_share
llm-communication-20260416-143636.log,2026-04-16T14:36:36.861000,4,3,0,"{""local|qwen2.5-coder:14b"": 4}",1690,1724.3,1811,5.2,5.4,0.961
llm-communication-20260416-145125.log,2026-04-16T14:51:25.843000,44,43,0,"{""local|qwen2.5-coder:14b"": 44}",2368,4780.4,17688,205.6,208.3,0.987
llm-communication-20260416-150424.log,2026-04-16T15:04:24.319000,136,135,0,"{""local|qwen2.5-coder:14b"": 136}",2746,4165.4,38843,562.3,566.7,0.992
llm-communication-20260416-151535.log,2026-04-16T15:15:35.315000,8476,8475,1,"{""local|qwen2.5-coder:14b"": 8476}",5130.0,7454.9,241047,63187.7,83282.6,0.759
llm-communication-20260418-143152.log,2026-04-18T14:31:52.404000,9023,9023,0,"{""local|qwen2.5-coder:14b"": 9023}",5008,7253.3,137745,65446.5,96554.7,0.678
llm-communication-20260420-005545.log,2026-04-20T00:55:45.023000,288,287,0,"{""local|qwen2.5-coder:14b"": 288}",2916,4760.4,123111,1366.2,1368.8,0.998
llm-communication-20260420-012443.log,2026-04-20T01:24:43.483000,534,533,1,"{""local|qwen2.5-coder:14b"": 534}",2793.0,5414.8,241128,2891.5,4208.4,0.687
llm-communication-20260420-023725.log,2026-04-20T02:37:25.227000,398,398,0,"{""local|qwen2.5-coder:14b"": 398}",2615.0,6260.6,35407,2491.7,4635.0,0.538
llm-communication-20260420-035542.log,2026-04-20T03:55:42.014000,9522,9522,0,"{""local|qwen2.5-coder:14b"": 9522}",5244.0,8804.9,214590,83839.8,144150.7,0.582
llm-communication-20260422-092451.log,2026-04-22T09:24:51.504000,8087,8087,0,"{""local|qwen2.5-coder:14b"": 8087}",4856,9104.0,78861,73623.9,112785.4,0.653
llm-communication-20260424-161112.log,2026-04-24T16:11:12.209000,5969,5969,0,"{""local|qwen2.5-coder:14b"": 5969}",3095,9322.8,95079,55647.7,94128.6,0.591
